Preschools,T.I.M.E. Kids Pre-Schools,https://www.franchiseindia.com/brands/time-kids.84396,,,,,,,
Competitive Exam Coaching Institute,Alfa Classes,https://www.franchiseindia.com/brands/alfa-classes.81101,,,,,,,
Multi Cuisine Restaurant,Bistro 226,https://www.franchiseindia.com/brands/bistro-226.84145,,,,,,,
After School Activities,CueKids,https://www.franchiseindia.com/brands/cuekids.84729,,,,,,,
Aviation & Hospitality Training Institute,NFCI,https://www.franchiseindia.com/brands/national-finishing-cooking-institute-nfci.39128,,,,,,,
Preschools,The Growing Tree Kindergarten & Daycare,https://www.franchiseindia.com/brands/the-growing-tree-kindergarten-daycare.79823,,,,,,,
Preschools,Seeds Pre School,https://www.franchiseindia.com/brands/seeds-pre-school.85746,,,,,,,
Casual Dine Restaurants,Urban Chaat India Private Limited,https://www.franchiseindia.com/brands/urban-chaat.77215,,,,,,,
Bicycle,MITRAS BIKES PRIVATE LIMITED,https://www.franchiseindia.com/brands/ahoy-bikes.79115,,,,,,,
Healthcare Products,Health Total by Anjali Mukherjee,https://www.franchiseindia.com/brands/health-total.79113,,,,,,,
"Art, Craft, Antique & Framing",ARTRISE ART,https://www.franchiseindia.com/brands/artmindz.82439,,,,,,,
Car Wash / Ceramic Coating / Detailing,CARZSPA,https://www.franchiseindia.com/brands/carzspa.33543,,,,,,,
Quick Service Restaurants,US Pizza & Fried Chicken,https://www.franchiseindia.com/brands/USPFC.14848,,,,,,,
Fine Dine Restaurants,ARSA MANAGEMENT PVT LTD (C/0- SURYMERLIN HOSPITALITY),https://www.franchiseindia.com/brands/indian-spice.78082,,,,,,,
Cosmetics & Beauty Product Stores,Renee Cosmetics Private Limited,https://www.franchiseindia.com/brands/renee-cosmetics.79108,,,,,,,
Quick Service Restaurants,Kathi Express,https://www.franchiseindia.com/brands/kathi-express.27144,,,,,,,
Home Furniture,Zorin,https://www.franchiseindia.com/brands/zorin.79107,,,,,,,
Bakery & Confectionary,ISR SAMRUDDHI FOODS Pvt Ltd.,https://www.franchiseindia.com/brands/caramellas.28938,,,,,,,
Womens Wear,Kalyr Retail Private Limited,https://www.franchiseindia.com/brands/sassafras.79110,,,,,,,
Electric Vehicles,Coulomb EV Solutions Pvt. Ltd,https://www.franchiseindia.com/brands/charge-city.78080,,,,,,,
Ice Creams & Yogurt Parlors,Michaels Icecream Burger,https://www.franchiseindia.com/brands/michaels-icecream-burger.32262,,,,,,,
Bakery & Confectionary,Chocohive PVT LTD,https://www.franchiseindia.com/brands/conical-gaufres.82956,,,,,,,
Cosmetics & Beauty Product Stores,VELAY&CHE PRIVATE LIMITED,https://www.franchiseindia.com/brands/velayche.82198,,,,,,,
"Activity Centres, Day Care & Creches",Bricks4Kidz,https://www.franchiseindia.com/brands/bricks-4-kidz.79119,,,,,,,
Mobile Commerce,PHONEWALE LIMITED,https://www.franchiseindia.com/brands/phonewale.81172,,,,,,,
Bricks & Cement & Sand Supplies,Building Paradise Pvt Ltd,https://www.franchiseindia.com/brands/easy-build.87572,,,,,,,
Quick Service Restaurants,Hong Kong Chinese Restaurant,https://www.franchiseindia.com/brands/changs-hong-kong.79884,,,,,,,
Men's Clothing,Prima Fashion,https://www.franchiseindia.com/brands/tim-paris.83982,,,,,,,
Departmental/Unisex,T T BRANDS LTD,https://www.franchiseindia.com/brands/t-t-hi-flyers.83984,,,,,,,
Bakery & Confectionary,Artinci Artisinal Foods Pvt. Ltd.,https://www.franchiseindia.com/brands/artinci.82187,,,,,,,
Department & Convenience Stores,Capital Retail Pvt. Ltd.,https://www.franchiseindia.com/brands/fair-shop.79116,,,,,,,
Quick Service Restaurants,Broastkhan,https://www.franchiseindia.com/brands/broastkhan.80403,,,,,,,
Tea And Coffee Chain,Cafe Durga,https://www.franchiseindia.com/brands/cafe-durga.35344,,,,,,,
Women's Clothing,Basanti ke Kapde and Koffee,https://www.franchiseindia.com/brands/basanti-ke-kapde-and-koffee.83980,,,,,,,
Online Travel Services,Thomas Cook (India) Limited,https://www.franchiseindia.com/brands/thomas-cook-india-limited.78869,,,,,,,
